Accepted_SPNAME,BloomColors
Allium acuminatum,Purple
Allium allegheniense,
Allium amplectens,White
Allium amplectens,Pink
Allium canadense,White
Allium canadense,Pink
Allium canadense,Violet
Allium cernuum,White
Allium cernuum,Pink
Allium cernuum,purple
Allium cuthbertii,White
Allium cuthbertii,Pink
Allium cuthbertii,Purple
Allium dichlamydeum,Pink
Allium dichlamydeum,Purple
Allium dichlamydeum,Red
Allium falcifolium,White
Allium falcifolium,Pink
Allium falcifolium,Purple
Allium fibrillum,White
Allium fibrillum,Pink
Allium fibrillum,Green
Allium parvum,White
Allium parvum,Pink
Allium parvum,Purple
Allium peninsulare,Purple
Allium platycaule,Pink
Allium schoenoprasum,White
Allium schoenoprasum,Pink
Allium schoenoprasum,Purple
Allium stellatum,White
Allium stellatum,Pink
Allium stellatum,Purple
Allium textile,White
Allium tricoccum,White
Allium tricoccum,Yellow
Allium unifolium,White
Allium unifolium,Pink
Allium validum,Pink
Alnus alnobetula,Yellow
Alnus alnobetula,Green
Alnus alnobetula,Brown
Alnus incana,Green
Alnus incana,Purple
Alnus incana,Red
Alnus maritima,Green
Alnus maritima,Red
Alnus rhombifolia,Green
Alnus rubra,Green
Alnus rubra,Brown
Alnus rubra,Red
Alnus rugosa,
Alnus serrulata,Green
Alnus serrulata,Brown
Alnus serrulata,Red
Alophia drummondii,Yellow
Alophia drummondii,Blue
Alophia drummondii,Purple
Alsine borealis,
Amaranthus californicus,White
Amaranthus californicus,Green
Amaranthus californicus,Red
Amaranthus cannabinus,White
Amaranthus cannabinus,Green
Amaranthus hybridus,White
Amaranthus hybridus,Green
Amaranthus hybridus,Purple
Amaranthus hybridus,Yellow
Amaranthus hybridus,Red
Amaranthus polygonoides,White
Amaranthus polygonoides,Green
Amaranthus polygonoides,Red
Amaranthus retroflexus,White
Amaranthus retroflexus,Yellow
Amaranthus retroflexus,Green
Amaranthus viridis,Yellow
Amaranthus viridis,Green
Amblyolepis setigera,Yellow
Ambrosia trifida,Green
Ambrosia trifida,Brown
Amelanchier alnifolia,White
Amelanchier arborea,White
Amelanchier bartramiana,White
Amelanchier canadensis,White
Amelanchier grandiflora,
Amelanchier laevis,White
Amelanchier nantucketensis,White
Amelanchier sanguinea,White
Amelanchier spicata,
Amelanchier stolonifera,White
Amelanchier stolonifera,Pink
Amelanchier utahensis,White
Amelanchier utahensis,Pink
Amianthium muscaetoxicum,White
Amianthium muscaetoxicum,Green
Amianthium muscitoxicum,
Ammophila breviligulata,Yellow
Amorpha canescens,Blue
Amorpha canescens,Purple
Amorpha fruticosa,Orange
Amorpha fruticosa,Blue
Amorpha fruticosa,Violet
Amorpha fruticosa,Purple
Amorpha glabra,Purple
Amorpha herbacea,White
Amorpha herbacea,Blue
Amorpha herbacea,Violet
Amorpha nana,Violet
Amorpha nana,Purple
Ampelamus laevis,White
Ampelaster carolinianus,Pink
Ampelaster carolinianus,Rose–pink
Ampelaster carolinianus,Purple
Ampelopsis cordata,White
Ampelopsis cordata,Green
Amphicarpaea bracteata,White
Amphicarpaea bracteata,Pink
Amphicarpaea bracteata,Purple
Amsonia ciliata,Blue
Amsonia hubrichtii,Blue
Amsonia illustris,Blue
Amsonia jonesii,Blue
Amsonia rigida,Blue
Amsonia tabernaemontana,Blue
Amsonia tabernaemontana,Purple
Anaphalis margaritacea,White
Anaphalis margaritacea,Yellow
Anaphalis margaritacea,yellow
Andersonglossum virginianum,White
Andersonglossum virginianum,Blue
Andromeda glaucophylla,White
Andromeda glaucophylla,Pink
Andromeda polifolia,White
Andromeda polifolia,Pink
Andropogon gerardii,brown
Andropogon gerardii,green
Andropogon gerardii,Brown
Andropogon gerardii,Blue
Andropogon gerardii,Red
Andropogon glomeratus,White
Andropogon glomeratus,Brown
Andropogon gyrans,White
Andropogon gyrans,Green
Andropogon scoparius,
Andropogon ternarius,Green
Andropogon ternarius,Brown
Andropogon virginicus,Yellow
Andropogon virginicus,Green
Andropogon virginicus,Brown
Andropogon virginicus,Purple
Androsace chamaejasme,White
Androsace chamaejasme,Pink
Androsace laevigata,Pink
Androsace laevigata,Purple
Androsace lehmanniana,White
Androsace montana,Pink
Androsace septentrionalis,White
Androstephium caeruleum,White
Androstephium caeruleum,Blue
Androstephium caeruleum,Violet
Androstephium caeruleum,Purple
Anemonastrum canadense,White
Anemone canadensis,
Anemone caroliniana,White
Anemone caroliniana,Pink
Anemone caroliniana,Blue
Anemone caroliniana,Purple
Anemone cylindrica,White
Anemone cylindrica,Green
Anemone cylindrica,Brown
Anemone decapetala,
Anemone multifida,White
Anemone multifida,Green
Anemone multifida,Purple
Anemone multifida,Pink
Anemone multifida,Yellow
Anemone multifida,Blue
Anemone multifida,Red
Anemone narcissiflora,White
Anemone narcissiflora,Yellow
Anemone narcissiflora,Blue
Anemone oregana,
Anemone parviflora,White
Anemone parviflora,Blue
Anemone quinquefolia,White
Anemone quinquefolia,Pink
Anemone quinquefolia,Blue
Anemone trifolia,
Anemone virginiana,White
Anemone virginiana,Yellow
Anemone virginiana,Green
Anemonella thalictroides,White
Anemonella thalictroides,Pink
Anemopsis californica,White
Angelica atropurpurea,White
Angelica atropurpurea,Green
Angelica lucida,White
Angelica lucida,Green
Angelica triquinata,White
Angelica triquinata,Yellow
Angelica triquinata,Green
Angelica venenosa,White
Angiopteris evecta,
Anisacanthus quadrifidus,Orange
Anisacanthus quadrifidus,Red
Anisacanthus wrightii,
Annona glabra,White
Annona glabra,Yellow
Annona squamosa,
Anoda crenatiflora,Yellow
Anoda cristata,White
Anoda cristata,Purple
Antennaria howellii,White
Antennaria howellii,Yellow
Antennaria howellii,Brown
Antennaria media,White
Antennaria media,Yellow
Antennaria media,Red
Antennaria microphylla,White
Antennaria microphylla,Pink
Antennaria neglecta,White
Antennaria neglecta,Green
Antennaria neglecta,Brown
Antennaria neglecta,Red
Antennaria parlinii,White
Antennaria parvifolia,White
Antennaria parvifolia,Green
Antennaria parvifolia,Pink
Antennaria parvifolia,Brown
Antennaria parvifolia,Red
Antennaria plantaginifolia,White
Antennaria rosea,White
Antennaria rosea,Pink
Antennaria rosea,Brown
Antennaria rosea,Red
Antennaria solitaria,White
Antennaria solitaria,Green
Antennaria umbrinella,White
Antennaria umbrinella,Yellow
Antennaria umbrinella,Brown
Antennaria virginica,White
Antennaria virginica,Yellow
Antennaria virginica,Red
Anthoxanthum nitens,
Anticlea elegans,White
Anticlea elegans,Yellow
Anticlea elegans,Green
Anticlea elegans,Brown
Anticlea occidentalis,Green
Anticlea occidentalis,Brown
Anticlea occidentalis,Purple
Antirrhinum multiflorum,
Anychia canadensis,
Anychia dichotoma,
Aphanostephus ramosissimus,White
Aphanostephus ramosissimus,Yellow
Aphanostephus skirrhobasis,White
Aphanostephus skirrhobasis,Yellow
Aphanostephus skirrhobasis,Purple
Aphyllon uniflorum,White
Aphyllon uniflorum,Yellow
Aphyllon uniflorum,Purple
Apios americana,Pink
Apios americana,Purple
Apios americana,Red
Aplectrum hyemale,White
Aplectrum hyemale,Yellow
Aplectrum hyemale,Green
Aplectrum hyemale,Purple
Apocynum androsaemifolium,White
Apocynum androsaemifolium,Pink
Apocynum cannabinum,White
Apocynum cannabinum,Green
Apocynum cannabinum,green
Apocynum cannabinum,Brown
Aquilegia caerulea,White
Aquilegia caerulea,Pink
Aquilegia caerulea,Blue
Aquilegia canadensis,Pink
Aquilegia canadensis,Yellow
Aquilegia canadensis,yellow
Aquilegia canadensis,Red
Aquilegia chrysantha,Yellow
Aquilegia flavescens,Yellow
Aquilegia formosa,Yellow
Aquilegia formosa,Red
Aquilegia jonesii,Blue
Aquilegia jonesii,Purple
Aquilegia longissima,Yellow
Aquilegia pubescens,White
Aquilegia pubescens,Pink
Aquilegia pubescens,Yellow
Aquilegia saximontana,White
Aquilegia saximontana,Yellow
Aquilegia saximontana,Blue
Aquilegia scopulorum,White
Aquilegia scopulorum,Yellow
Aquilegia scopulorum,Blue
Aquilegia scopulorum,Purple
Arabidopsis lyrata,White
Arabis alpina,White
Arabis blepharophylla,Pink
Arabis blepharophylla,Purple
Arabis brachycarpa,
Arabis caucasica,
Arabis glabra,
Arabis hirsuta,White
Arabis laevigata,
Arabis lyrata,
Aralia hispida,White
Aralia hispida,Green
Aralia nudicaulis,White
Aralia nudicaulis,Green
Aralia nudicaulis,Brown
Aralia racemosa,White
Aralia racemosa,Green
Aralia spinosa,White
Arbutus menziesii,White
Arceuthobium pusillum,White
Arctostaphylos columbiana,White
Arctostaphylos columbiana,Pink
Arctostaphylos densiflora,White
Arctostaphylos densiflora,Pink
Arctostaphylos glauca,White
Arctostaphylos glauca,Pink
Arctostaphylos hookeri,White
Arctostaphylos hookeri,Pink
Arctostaphylos manzanita,White
Arctostaphylos manzanita,Pink
Arctostaphylos nevadensis,White
Arctostaphylos nevadensis,Pink
Arctostaphylos patula,Pink
Arctostaphylos pungens,White
Arctostaphylos pungens,Pink
Arctostaphylos tomentosa,White
Arctostaphylos tomentosa,Pink
Arctostaphylos uva-ursi,White
Arctostaphylos uva-ursi,Pink
Arctostaphylos uva-ursi,pink
Arctostaphylos viscida,White
Arctostaphylos viscida,Pink
Arctous alpina,
Arenaria caroliniana,
Arenaria emarginata,
Arenaria groenlandica,
Arenaria lateriflora,
Arenaria macrophylla,
Arenaria stricta,
Arethusa bulbosa,Pink
Arethusa bulbosa,Yellow
Arethusa bulbosa,Purple
Argemone hispida,White
Argemone hispida,Yellow
Argemone mexicana,Yellow
Argemone ochroleuca,
Argemone platyceras,
Argemone sanguinea,White
Argemone sanguinea,Pink
Argemone sanguinea,Red
Ariocarpus fissuratus,Pink
Ariocarpus fissuratus,Purple
Arisaema dracontium,White
Arisaema dracontium,Green
Arisaema dracontium,Purple
Arisaema dracontium,maroon
Arisaema dracontium,Yellow
Arisaema dracontium,Brown
Arisaema triphyllum,Green
Arisaema triphyllum,maroon
Arisaema triphyllum,Brown
Arisaema triphyllum,Purple
Aristida dichotoma,Brown
Aristida dichotoma,Purple
Aristida divaricata,Green
Aristida divaricata,Brown
Aristida purpurascens,Brown
Aristida purpurascens,Purple
Aristida purpurea,Yellow
Aristida purpurea,Purple
Aristida stricta,Green
Aristida stricta,Brown
Aristolochia californica,Brown
Aristolochia californica,Purple
Aristolochia durior,
Aristolochia macrophylla,Green
Aristolochia macrophylla,Brown
Aristolochia macrophylla,Purple
Aristolochia serpentaria,Yellow
Aristolochia serpentaria,Brown
Aristolochia serpentaria,Purple
Aristolochia tomentosa,Yellow
Aristolochia tomentosa,Green
Aristolochia tomentosa,Purple
Armeria maritima,White
Armeria maritima,Pink
Armeria maritima,Purple
Arnica acaulis,Yellow
Arnica chamissonis,Yellow
Arnica cordifolia,Yellow
Arnica lonchophylla,Yellow
Arnica mollis,Yellow
Arnoglossum atriplicifolium,White
Arnoglossum plantagineum,White
Arnoglossum plantagineum,Green
Arnoglossum reniforme,White
Arnoglossum reniforme,Green
Aronia × prunifolia,
Aronia arbutifolia,White
Aronia arbutifolia,Pink
Aronia floribunda,
Aronia melanocarpa,White
Aronia melanocarpa,Pink
Aronia X prunifolia,White
Aronia X prunifolia,Pink
Arsenococcus ligustrinus,
Artemisia arbuscula,Yellow
Artemisia californica,Pink
Artemisia californica,Yellow
Artemisia californica,Green
Artemisia campestris,White
Artemisia campestris,Green
Artemisia douglasiana,White
Artemisia douglasiana,Yellow
Artemisia dracunculus,Yellow
Artemisia filifolia,Yellow
Artemisia filifolia,Brown
Artemisia frigida,White
Artemisia frigida,Yellow
Artemisia ludoviciana,Yellow
Artemisia ludoviciana,Red
Artemisia palmeri,Yellow
Artemisia pycnocephala,White
Artemisia pycnocephala,Yellow
Artemisia stelleriana,Yellow
Artemisia tridentata,Yellow
Aruncus dioicus,White
Arundinaria gigantea,Green
Asarum arifolium,Brown
Asarum arifolium,Purple
Asarum canadense,Green
Asarum canadense,Purple
Asarum canadense,Brown
Asarum canadense,Red–brown
Asarum canadense,Red
Asarum caudatum,Yellow
Asarum caudatum,Green
Asarum caudatum,Brown
Asarum caudatum,Purple
Asarum shuttleworthii,Brown
Asarum shuttleworthii,Purple
Asarum virginicum,Yellow
Asarum virginicum,Brown
Asarum virginicum,Purple
Asclepias amplexicaulis,Pink
Asclepias amplexicaulis,Green
Asclepias amplexicaulis,Purple
Asclepias angustifolia,White
Asclepias angustifolia,Pink
Asclepias arenaria,Green
Asclepias asperula,White
Asclepias asperula,Green
Asclepias exaltata,White
Asclepias exaltata,Pink
Asclepias exaltata,Green
Asclepias fascicularis,White
Asclepias fascicularis,Pink
Asclepias fascicularis,Green
Asclepias fascicularis,Purple
Asclepias hirtella,White
Asclepias hirtella,Green
Asclepias hirtella,Brown
Asclepias incarnata,rose
Asclepias incarnata,Pink
Asclepias incarnata,Purple
Asclepias lanceolata,Orange
Asclepias lanceolata,Orange–red
Asclepias lanceolata,Red
Asclepias linaria,White
Asclepias linearis,White
Asclepias linearis,Green
Asclepias longifolia,White
Asclepias longifolia,Green
Asclepias longifolia,Purple
Asclepias mexicana,
Asclepias pedicellata,Yellow
Asclepias pedicellata,Green
Asclepias perennis,White
Asclepias perennis,Pink
Asclepias pulchra,
Asclepias pumila,White
Asclepias pumila,Purple
Asclepias purpurascens,Purple
Asclepias purpurascens,Red
Asclepias quadrifolia,White
Asclepias quadrifolia,Pink
Asclepias rubra,Pink
Asclepias rubra,Purple
Asclepias rubra,Red
Asclepias speciosa,Pink
Asclepias speciosa,Green
Asclepias speciosa,Purple
Asclepias sullivantii,Pink
Asclepias sullivantii,Rose–purple
Asclepias syriaca,White
Asclepias syriaca,Purple
Asclepias tuberosa,Orange
Asclepias tuberosa,Yellow
Asclepias variegata,White
Asclepias variegata,Purple
Asclepias verticillata,White
Asclepias verticillata,Green
Asclepias verticillata,Purple
Asclepias viridiflora,Yellow
Asclepias viridiflora,Green
Asclepias viridis,White
Asclepias viridis,Yellow
Asclepias viridis,Green
Asclepias viridis,Purple
Ascyrum stans,
Asimina incana,White
Asimina incana,Yellow
Asimina parviflora,Red–maroon
Asimina parviflora,Purple
Asimina triloba,White
Asimina triloba,Purple
Asimina triloba,Yellow
Asimina triloba,Red–brown
Asimina triloba,Red
Asperula tinctoria,
Asplenium abscissum,Not Applicable
Asplenium auritum,
Asplenium australasicum,
Asplenium bradleyi,Not Applicable
Asplenium cuneatum,Not Applicable
Asplenium montanum,Not Applicable
Asplenium myriophyllum,
Asplenium nidus,Not Applicable
Asplenium pinnatifidum,Not Applicable
Asplenium platyneuron,Not Applicable
Asplenium pycnocarpon,
Asplenium resiliens,Not Applicable
Asplenium rhizophyllum,Not Applicable
Asplenium ruta-muraria,Not Applicable
Asplenium ruta muraria,
Asplenium scolopendrium,Not Applicable
Asplenium septentrionale,Not Applicable
Asplenium trichomanes,Not Applicable
Asplenium viride,Not Applicable
Aster acuminatus,
Aster adscendens,
Aster alpinus,White
Aster alpinus,Pink
Aster alpinus,Purple
Aster asteroides,
Aster azureus,
Aster concinnus,
Aster cordifolius,
Aster divaricatus,
Aster dumosus,
Aster ericoides,
Aster grandiflorus,
Aster laevis,
Aster lanceolatus,
Aster lateriflorus,
Aster linariifolius,
Aster longifolius,
Aster macrophyllus,
Aster multiflorus,
Aster oblongifolius,
Aster paniculatus,
Aster patens,
Aster pendulus,
Aster pilosus,
Aster puniceus,
Aster sibiricus,
Aster spectabilis,
Aster squarrosus,
Aster tenuifolius,
Aster umbellatus,
Astilbe biternata,White
Astragalus adsurgens,
Astragalus alpinus,White
Astragalus alpinus,Pink
Astragalus alpinus,Blue
Astragalus alpinus,Purple
Astragalus bisulcatus,Purple
Astragalus bisulcatus,Red
Astragalus canadensis,White
Astragalus crassicarpus,White
Astragalus crassicarpus,Blue
Astragalus crassicarpus,Purple
Astragalus gilviflorus,White
Astragalus gilviflorus,Purple
Astragalus hypoglottis,
Astragalus missouriensis,Purple
Astragalus pectinatus,Yellow
Astragalus shortianus,White
Astragalus shortianus,Pink
Astragalus shortianus,Purple
Astragalus spatulatus,Purple
Astragalus tridactylicus,White
Astragalus tridactylicus,Purple
Astragalus utahensis,Violet
Astragalus utahensis,Pink
Astranthium integrifolium,White
Astranthium integrifolium,Yellow
Astrolepis sinuata,
Astrophytum asterias,Orange
Astrophytum asterias,Yellow
Astrophytum asterias,Red
Athyrium angustum,
Athyrium asplenioides,Not Applicable
Athyrium filix-femina,Not Applicable
Atriplex canescens,Yellow
Atriplex confertifolia,Yellow
Atriplex confertifolia,Green
Atriplex lentiformis,Pink
Atriplex lentiformis,Yellow
Atriplex lentiformis,Green
Atriplex prostrata,Pink
Atriplex prostrata,Green
Atriplex prostrata,Brown
Atriplex prostrata,Purple
Atriplex truncata,Green
Aureolaria flava,Yellow
Aureolaria laevigata,Yellow
Aureolaria pedicularia,Yellow
Aureolaria virginica,Yellow
Avenella flexuosa,
Axonopus compressus,Green
Axonopus compressus,Purple
Axonopus furcatus,Yellow
Axonopus furcatus,Green
Axonopus furcatus,Brown
Azalea alabamensis,
Azalea arborescens,
Azalea atlantica,
Azalea austrina,
Azalea calendulacea,
Azalea canadensis,
Azalea canescens,
Azalea lutea,
Azalea nudiflora,
Azalea occidentalis,
Azalea serrulata,
Azalea viscosa,
Azolla caroliniana,Not Applicable
Azolla filiculoides,Not Applicable
Baccharis angustifolia,White
Baccharis angustifolia,Yellow
Baccharis glomeruliflora,Yellow
Baccharis halimifolia,White
Baccharis pilularis,White
Baccharis pilularis,Yellow
Baccharis salicifolia,White
Baccharis salicifolia,Pink
Baccharis salicifolia,Yellow
Baccharis sarothroides,White
Baccharis sarothroides,Yellow
Bacopa caroliniana,Blue
Bacopa monnieri,White
Bacopa monnieri,Pink
Bacopa monnieri,white
Bacopa monnieri,purple
Bacopa monnieri,Blue
Baileya multiradiata,Yellow
Balduina angustifolia,Yellow
Balsamorhiza hookeri,Yellow
Balsamorhiza sagittata,Yellow
Baptisia alba,White
Baptisia australis,Blue
Baptisia australis,Blue–purple
Baptisia australis,Purple
Baptisia bracteata,White
Baptisia bracteata,Yellow
Baptisia bracteata,Blue–purple
Baptisia lactea,
Baptisia lanceolata,Yellow
Baptisia leucantha,
Baptisia leucophaea,
Baptisia minor,
Baptisia pendula,
Baptisia simplicifolia,Yellow
Baptisia sphaerocarpa,Yellow
Baptisia tinctoria,Yellow
Baptisia villosa,
Bartonia verna,White
Bartonia virginica,Yellow
Beckmannia eruciformis,
Bejaria racemosa,White
Bejaria racemosa,Pink
Benthamidia florida,
Berberis aquifolium,Yellow
Berberis canadensis,Yellow
Berberis fremontii,Yellow
Berberis nervosa,Yellow
Berberis pinnata,
Berberis repens,Yellow
Berberis trifoliolata,Yellow
Berberis wilcoxii,Yellow
Berchemia scandens,Green
Berlandiera lyrata,Yellow
Betula × purpusii,
Betula alleghaniensis,Yellow
Betula alleghaniensis,Green
Betula alleghaniensis,Brown
Betula glandulosa,Green
Betula glandulosa,Brown
Betula lenta,Yellow
Betula lenta,Green
Betula lenta,Brown
Betula lenta,Red
Betula nana,Green
Betula nigra,Green
Betula nigra,Brown–green
Betula nigra,Brown
Betula occidentalis,Yellow
Betula occidentalis,Green
Betula occidentalis,Brown
Betula papyrifera,Yellow
Betula papyrifera,Green
Betula papyrifera,Brown
Betula populifolia,Green
Betula populifolia,Brown
Betula pumila,Yellow
Betula pumila,Green
Betula pumila,Brown
Betula uber,
Bidens alba,White
Bidens alba,Yellow
Bidens aristosa,Yellow
Bidens aurea,White
Bidens aurea,Yellow
Bidens beckii,Yellow
Bidens beckii,Green
Bidens beckii,Brown
Bidens bipinnata,White
Bidens bipinnata,Yellow
Bidens cernua,Yellow
Bidens connata,Yellow
Bidens coronata,Yellow
Bidens ferulifolia,Yellow
Bidens frondosa,Orange
Bidens frondosa,Yellow
Bidens laevis,Yellow
Bidens mitis,Yellow
Bidens nivea,
Bidens polylepis,
Bidens trichosperma,
Bidens tripartita,Orange
Bidens tripartita,Yellow
Bigelowia nuttallii,Yellow
Bignonia capreolata,Yellow
Bignonia capreolata,yellow
Bignonia capreolata,Red
Bignonia sempervirens,
Blechnum occidentale,Not Applicable
Blechnum orientale,
Blechnum spicant,Not Applicable
Blennosperma nanum,Yellow
Blennosperma nanum,Purple
Blephilia ciliata,White
Blephilia ciliata,Blue
Blephilia ciliata,Purple
Blephilia hirsuta,Blue
Blephilia hirsuta,Purple
Bletia florida,
Bletia purpurea,White
Bletia purpurea,Pink
Bletia purpurea,Purple
Bloomeria clevelandii,Yellow
Bloomeria crocea,Orange
Bloomeria crocea,Yellow
Boechera fendleri,White
Boechera fendleri,Purple
Boechera laevigata,
Boechera stricta,White
Boechera stricta,Pink
Boechera stricta,Purple
Boehmeria cylindrica,Yellow
Boehmeria cylindrica,Green
Boehmeria cylindrica,Brown
Boisduvalia densiflora,
Bolandra oregana,Purple
Bolboschoenus fluviatilis,Brown
Bolboschoenus maritimus,Green
Bolboschoenus maritimus,Brown
Bolboschoenus robustus,Red
Boltonia asteroides,White
Boltonia caroliniana,White
Boltonia caroliniana,Yellow
Boltonia caroliniana,pink
Boltonia caroliniana,Purple
Boltonia decurrens,White
Boltonia decurrens,Pink
Boltonia decurrens,Yellow
Boltonia decurrens,Purple
Boltonia diffusa,White
Boltonia diffusa,Yellow
Boltonia diffusa,Purple
Boltonia latisquama,
Bontia daphnoides,Yellow
Bontia daphnoides,Purple
Borrichia arborescens,Yellow
Borrichia frutescens,Yellow
Botrychium dissectum,Not Applicable
Botrychium lanceolatum,Not Applicable
Botrychium lunaria,Not Applicable
Botrychium lunarioides,Not Applicable
Botrychium matricariifolium,Not Applicable
Botrychium multifidum,Not Applicable
Botrychium simplex,Not Applicable
Botrychium ternatum,
Botrychium virginianum,Not Applicable
Bouteloua curtipendula,orange
Bouteloua curtipendula,Yellow
Bouteloua curtipendula,Orange
Bouteloua curtipendula,red
Bouteloua curtipendula,Red
Bouteloua dactyloides,Yellow
Bouteloua dactyloides,Green
