Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Abroma augustum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand-verbena",,Herb,"Trailing stems, up to about 16 inches long.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Abronia fragrans,"Fragrant Sand-verbena, Snowball Sand Verbena, Sweet Sand-verbena, Prairie Snowball, Sand Verbena, Heart's Delight",Perennial,Herb,"Stems procumbent to semi-erect, up to about 40 inches long.",Low,,"Loose, deep, sandy soils.",Sand verbena attracts butterflies.,,,yes,Easily raised from fall-sown seed in mild-winter areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Abronia latifolia,"Coastal Sand Verbena, Yellow Sand Verbena",Perennial,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Abronia umbellata,"Pink Sand Verbena, Beach Sand Verbena",,Herb,Trailing stems up to about 3 feet long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Abronia villosa,"Desert Sand Verbena, Desert Sand-verbena, Desert Sandverbena",Annual,Herb,Up to about 6 inches tall by 20 inches across.,Low,,"Dry, well-drained soils.",,,,yes,"Plant seeds in late summer, fall or early spring. Germination may be enhanced by removing the seeds from the papery fruit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Acacia constricta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acacia farnesiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acaena pinnatifida,"Argentinian Biddy Biddy, Argentinian Biddy-biddy",,Herb,Up to about 20 inches tall in fruit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acalypha virginica,Virginia Threeseed Mercury,Annual,Herb,Up to about 20 inches tall.,Medium,,,,,,,,,,,,,,Yes,3,,Single Crown,Erect,Color,Deciduous,"Moist, Dry",Medium,Medium,,Medium,Rapid,"Spring, Summer, Fall",,No,Medium,,Low/Low,"Seed, Container, Bare root, Cutting",None Known,,,,,,,,,,,,,,,,,,Herb (annual),True,True,False,False,False,False
Acanthocereus tetragonus,"Triangle Cactus, Barbed-wire Cactus, Chaco",Perennial,Cactus/Succulent,Up to about 6 feet tall by 12 feet across.,"Low , Medium",,"Sandy, moist soils.","In Florida,",yes,,,May be propagated by seed or by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,True
Acer barbatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acer circinatum,"Oregon Vine Maple, Vine Maple",,Shrub,"Height 25-30 feet, can reach 40 ft or larger, spread 25-35 feet. Multiple stems.",Medium,,Moist soils.,"The seeds of this and other maples are consumed by songbirds, game birds, and large and small mammals.",yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False
Acer glabrum,Rocky Mountain Maple,,Tree,"Up to about 30 feet tall, with slender spreading branches.",Low,,"Moist, well-drained, rocky soils.","Deer, elk, cattle, and sheep browse the foliage.",yes,,yes,Can be propagated from seeds sown soon after harvest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Acer grandidentatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acer macrophyllum,"Bigleaf Maple, Big-leaf Maple",,Tree,"Height 30-100 feet, spread 30-50 feet or more, diameter 2 to 4 ft.",Medium,,"Cool, moist soils.","Important forage for deer, squirrels and other wildlife.",yes,,yes,Use fresh seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True
Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Perennial,Tree,Up to about 50 feet tall.,Medium,,Variable.,"Birds, Other Showy Insects",,,,,Tree,Low,2.0,10.0,March,April,No,60,Short,Multiple Stem,Erect,Color,Deciduous,"Wet, Moist",Medium,,Medium,Medium,Rapid,"Spring, Summer",,Yes,High,Low,Low/Low,"Seed, Container, Bare root, Cutting",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,Yes,,Yes,Yes,"Abagrotis barnesi, Abagrotis orbis, Abagrotis reedi, Acleris negundana, Acronicta americana, Acronicta sperata sperata, Adoxophyes negundana, Alsophila pometaria, Amphipyra pyramidoides, Anacampsis niveopulvella, Anacamptodes ephyraria, Anavitrinella pampinaria, Antheraea polyphemus polyphemus, Archips argyrospila, Archips negundana, Archips semiferanus, Automeris io io, Biston betularia cognataria, Caloptilia alnivorella, Caloptilia negundella, Campaea perlata, Chionodes negundella, Choristoneura conflictana, Choristoneura rosaceana, Clepsis persicana, Colocasia propinquilinea, Crocigrapha normani, Datana ministra, Dryocampa rubicunda, Eacles imperialis, Eacles imperialis imperialis, Ectropis crepuscularia, Elaphria festivoides, Ennomos magnaria, Erannis tiliaria, Eupsilia tristigmata, Eupsilia vinulenta, Euxoa tessellata, Glena cognataria, Halysidota tessellaris, Haploa lecontei, Hyalophora cecropia, Hyalophora columbia gloveri, Hypagyrtis unipunctata, Hyphantria cunae, Iridopsis larvaria, Laetilia coccidivora, Lithophane antennata, Lithophane bethunei, Lithophane georgii, Lithophane grotei, Lithophane hemina, Lithophane laticinerea, Lophocampa caryae, Lophocampa maculata, Lymantria dispar, Malacosoma disstria, Melanolophia canadaria, Nematocampa filamentaria, Oiketicus abbotii, Oligocentria lignicolor, Operophtera bruceata, Orgyia antiqua, Orgyia leucostigma, Orgyia leuschneri, Orgyia leuschneri leuschneri, Orgyia leuschneri ringd, Orthosia hibisci, Orthotaenia undulana, Paleacrita vernata, Palthis angulalis, Pandemis canadana, Pandemis limitata, Papaipema cataphracta, Peridroma saucia, Pero morrisonaria, Phigalia titea, Prionoxystus robiniae, Proteoteras aesculana, Proteoteras arizonae, Proteoteras crescentana, Proteoteras willingana, Sabulodes caberata, Satyrium calanus, Schizura ipomoeae, Semiothisa aemulataria, Spaelotis clandestina, Sparganothis pettitana, Spilosoma vestalis, Stigmella apicialbella, Xylena cineritia, Zale duplicata largera",,,Yes,Tree,True,True,True,True,True,False
Acer nigrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acer pensylvanicum,"Striped Maple, Moosewood",Perennial,Tree,Up to about 35 feet tall.,Low,Acidic (pH<6.8),"Cool, well-drained, moist, acidic soils.",,,,yes,"Propagate by stratified seed or cuttings. Late softwood or semi-hardwood cuttings may root under mist, however percentages are often low.",Tree,Low,3.0,7.0,April,May,No,35,Short,Single Stem,Erect,Color,Deciduous,"Moist, Dry",Low,,,Medium,Slow,"Spring, Summer",,Yes,Low,Medium,High/Medium,"Seed, Container, Bare root",High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Acronicta americana, Antheraea polyphemus polyphemus, Biston betularia, Ectropis crepuscularia, Eutrapela clemataria, Hyphantria cunae, Lithophane innominata, Lithophane semiusta, Lymantria dispar, Melanolophia canadaria, Morrisonia latex, Orthosia hibisci, Plagodis phlogosaria, Sparganothis pettitana",,,Yes,"Tree, Shrub",True,True,True,False,True,False
Acer rubrum,"Red Maple, Scarlet Maple, Soft Maple",Perennial,Tree,Up to about 100 feet tall.,High,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Moist, slightly acidic soils.",Browsed by deer and moose. Also used by squirrels and a variety of birds (Wasowski and Wasowski 1994). Maples are widely used by inchworms (Geometridae) and relied on by the Rosy Maple Moth (,yes,,yes,Seeds mature in early summer and will germinate without pretreatment although treatment will hasten and unify germination. Softwood cuttings root readily with hormone.,Tree,Low,3.0,9.0,March,April,Yes,68,Short,Single Stem,Rounded,Color,Deciduous,"Wet, Moist, Dry",High,,,Medium,Rapid,"Spring, Summer",Low,Yes,Medium,Low,Medium/Low,"Seed, Container, Bare root",High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Acleris chalybeana, Acronicta americana, Acronicta retardata, Actias luna luna, Alsophila pometaria, Amphipyra pyramidoides, Anacamptodes ephyraria, Anavitrinella pampinaria, Antaeotricha leucillana, Antheraea polyphemus polyphemus, Archips argyrospila-complex, Archips rosana, Automeris io, Automeris io io, Besma endropiaria, Biston betularia cognataria, Caloptilia aceriella, Caloptilia bimaculatella, Caloptilia speciosella, Caloptilia umbratella, Cameraria aceriella, Cameraria saccharella, Campaea perlata, Catastega aceriella, Choristoneura fractivittana, Choristoneura parallela, Choristoneura rosaceana, Coleophora alniella, Colocasia flavicornis, Crocigrapha normani, Dafa formosella, Dasychira plagiata, Datana ministra, Dryocampa rubicunda, Eacles imperialis, Ectropis crepuscularia, Ennomos magnaria, Ennomos subsignaria, Episimus tyrius, Erannis tiliaria, Eupsilia sidus, Eupsilia tristigmata, Eutrapela clemataria, Halysidota tessellaris, Herpetogramma pertextalis, Heterocampa biundata, Heterocampa guttivitta, Hyalophora cecropia, Hypagyrtis unipunctata, Hypena baltimoralis, Hyphantria cunae, Lambdina fiscellaria, Lambdina fiscellaria fiscellaria, Lithacodes fasciola, Lithophane bethunei, Lithophane grotei, Lithophane innominata, Lithophane laticinerea, Lithophane petulca, Lophocampa caryae, Lophocampa maculata, Lymantria dispar, Macaria pustularia, Machimia tetoriferella, Malacosoma americana, Megalopyge crispata, Melanolophia canadaria, Melanolophia signataria, Metanema determinata, Morrisonia confusa, Morrisonia latex, Nadata gibbosa, Nematocampa filamentaria, Nites betulella, Olethreutes appendiceum, Operophtera brumata, Oreana unicolorella, Orgyia antiqua, Orgyia definita, Orgyia leucostigma, Orgyia leucostigma plagiata, Orthosia revicta, Orthotaenia undulana, Paleacrita vernata, Pandemis lamprosana, Paraclemensia acerifoliella, Parallelia bistriaris, Phigalia titea, Phlogophora periculosa, Phyllonorycter trinotella, Plagodis alcoolaria, Plagodis serinaria, Pococera aplastella, Probole alienaria, Probole amicaria, Prochoerodes transversata, Proteoteras aesculana, Proteoteras moffatiana, Proteoteras willingana, Protoboarmia porcelaria, Schizura ipomoeae, Selenia kentaria, Semiothisa aemulataria, Semiothisa ulsterata, Sparganothis acerivorana, Sparganothis pettitana, Spilosoma virginica, Symmerista leucitys, Synanthedon acerni, Synanthedon acerni buscki, Synanthedon acerrubri, Tetracis cachexiata, Xanthotype sospeta, Zale duplicata largera, Zale lunifera, Zale minerea norda",,,Yes,Tree,True,True,False,True,True,False
Acer saccharinum,"Silver Maple, Soft Maple, White Maple",Perennial,Tree,Up to about 100 feet tall.,Medium,,"Rich, wet to moist, slightly acid soils.",,,,yes,Seed has no dormancy and germinates immediately after maturing. Treated softwood cuttings root readily.,Tree,Low,3.0,9.0,March,March,Yes,50–100,Moderate,Single Stem,Rounded,Color,Deciduous,"Wet, Moist",Medium,,Low,Low,Rapid,"Spring, Summer",,Yes,Low,Low,Low/Low,"Seed, Container, Bare root, Cutting",High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Alsophila pometaria, Antheraea polyphemus polyphemus, Automeris io io, Caloptilia packardella, Cameraria aceriella, Cameraria saccharella, Colocasia flavicornis, Colocasia propinquilinea, Dasychira vagans, Eacles imperialis, Eacles imperialis imperialis, Ennomos subsignaria, Episimus tyrius, Erannis tiliaria, Euproctis chrysorrhoea, Euxoa messoria, Heterocampa biundata, Heterocampa guttivitta, Hyalophora cecropia, Hypena baltimoralis, Hyphantria cunae, Lambdina fervidaria athasaria, Lambdina fiscellaria, Leucoma salicis, Lithophane antennata, Lithophane bethunei, Lithophane grotei, Lithophane laticinerea, Lophocampa caryae, Lymantria dispar, Macaria pustularia, Machimia tetoriferella, Malacosoma americana, Morrisonia confusa, Morrisonia latex, Operophtera brumata, Orgyia leucostigma, Orthosia hibisci, Paleacrita vernata, Papaipema nebris, Parallelia bistriaris, Peridroma saucia, Phyllonorycter clemensella, Phyllonorycter lucidicostella, Phyllonorycter trinotella, Proteoteras aesculana, Proteoteras moffatiana, Schizura ipomoeae, Semiothisa aemulataria, Spaelotis clandestina, Sparganothis acerivorana, Sparganothis pettitana, Sunira bicolorago, Synanthedon acerni, Synanthedon acerni buscki",,,Yes,Tree,True,True,True,True,True,False
Acer saccharum,"Southern Sugar Maple, Florida Maple, Caddo Maple, Rock Maple",Perennial,Tree,Medium sized,Medium,,"Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Rich, moist soils.",,,,yes,Propagation is possible by seed.,Tree,Medium,3.0,8.0,April,April,No,100,Moderate,Single Stem,Erect,Color,Deciduous,Dry,Medium,,,Medium,Moderate,"Spring, Summer",,Yes,Medium,Low,Medium/,"Seed, Container, Bare root",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Cameraria saccharella, Morrisonia confusa, Morrisonia latex",,,Yes,Tree,True,True,True,False,True,True
Acer spicatum,Mountain Maple,Perennial,Tree,Up to about 35 feet tall.,Medium,Acidic (pH<6.8),"Moist, cool, acid soils.",Very high.,,,yes,Propagation is possible by seed.,,,,,,,No,25,Moderate,Multiple Stem,Erect,Color,Deciduous,Dry,Medium,Medium,,Medium,Moderate,"Spring, Summer",,Yes,Low,High,Medium/Low,"Seed, Container, Bare root",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Acleris chalybeana, Acronicta americana, Anavitrinella pampinaria, Archips argyrospila, Argyrotaenia quercifoliana, Automeris io io, Dryocampa rubicunda, Halysidota tessellaris, Heterocampa guttivitta, Hyalophora cecropia, Hyphantria cunae, Iridopsis larvaria, Lambdina fiscellaria lugubrosa, Lophocampa maculata, Lymantria dispar, Macaria pustularia, Malacosoma disstria, Olethreutes appendiceum, Orgyia leucostigma, Pandemis lamprosana, Sparganothis acerivorana, Xanthotype urticaria, Zale duplicata largera",,,Yes,"Tree, Shrub",True,True,True,False,True,False
Achillea borealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",,Herb,Up to about 3 feet tall.,Medium,,,,yes,yes,yes,,Herbaceous perennial,Medium,3.0,9.0,June,September,Yes,1–4,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Moist, Dry",Medium,Medium,Low,Medium,Moderate,Spring,,No,Medium,High,Medium/Low,"Seed, Container, Sprig",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Agrotis volubilis, Chlorochlamys chloroleucaria, Cryptocala acadiensis, Heliothis phloxiphaga, Homorthodes furfurata, Lacinipolia olivacea, Orthodes cynica, Papaipema nebris, Paradiarsia littoralis, Platyptilia williamsii, Pseudorthodes vecors, Sparganothis senecionana, Trichordestra legitima",,,,Herb (perennial),True,True,False,False,True,True
Achillea rosea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Achillea sibirica,Siberian Yarrow,Perennial,Herb,Up to about 32 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,True
Achillea tomentosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Achlys triphylla,"Sweet After Death, Sweet-after-death, Vanilla Leaf",Perennial,Herb,Up to about 8 inches tall.,,,"Moist, rich soils.",,yes,yes,yes,Propagate by root divisions or by seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False
Aconitum columbianum,Columbian Monkshood,Perennial,Herb,"Up to about 6 feet tall, occasionally up to about 10 feet.",High,,"Moist, rich soils.","Flowers attract bumblebees, hawkmoths and hummingbirds.",,,yes,"Plant fresh seeds immediately. New offset tubers can be divided in the spring. Bulbils, produced in leaf notches, should be collected and planted before they fall to the ground.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False
Aconitum reclinatum,"Trailing White Monkshood, White Monkshood, Trailing Wolfsbane",Perennial,Herb,"Stems erect to climbing or reclining, up to about 8 feet long.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aconitum uncinatum,"Southern Blue Monkshood, Monkshood",Perennial,Herb,"Stems erect, climbing or reclining, up to about 8 feet long.",,,,,,,,,,,,,,,Yes,2.5–3,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,Medium,Adult Food,Native Bees; Bombus,Yes,Yes,,,,,,,,,,,,,,Herb (perennial),True,True,False,False,True,False
Acorus americanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
